idx,l_deg,b_deg,theta_rad,phi_rad,cand_pix,unmasked_fraction
0,45.000000,58.160369,0.555706401348,0.785398163397,3633,0.999461
1,225.000000,-58.160369,2.585886252241,3.926990816987,45475,0.993923
2,250.312500,29.313199,1.059184490578,4.368777283898,12594,0.996440
3,19.687500,-29.313199,2.082408163012,0.343611696486,36494,0.980972
4,114.609375,-15.713861,1.845054940284,2.000310947403,31185,0.964080
5,163.125000,37.921651,0.908938662818,2.847068342316,9460,0.986845
6,325.546875,18.209957,1.252972622867,5.681864838328,16999,0.964512
7,310.078125,-37.168900,2.219516005135,5.411884219661,39516,0.953123
8,86.029412,-64.948084,2.704354237124,1.501496488848,46804,0.993647
9,77.343750,16.334823,1.285699886542,1.349903093339,17591,0.952531
10,229.285714,74.603436,0.268720733963,4.001790642073,893,0.977749
11,246.796875,-15.713861,1.845054940284,4.307418052383,31279,0.958227
12,205.312500,12.635625,1.350263065874,3.583379120501,19218,0.950194
13,156.428571,-42.609807,2.314477752194,2.730193615620,41197,0.951808
14,66.796875,-24.624318,2.000571758099,1.165825398793,34735,0.992215
15,109.067797,45.783967,0.771715355197,1.903592158743,6915,0.997696
16,329.000000,56.637198,0.582290736130,5.742133239061,4124,0.994487
17,197.578125,-25.944480,2.023612921540,3.448388811167,35340,0.950240
18,353.918919,-62.696660,2.665059474152,6.177050420234,46485,0.991733
19,287.578125,14.477512,1.318116071653,5.019185137962,18508,0.952333
20,41.484375,23.317957,1.163821201166,0.724038931882,14749,0.953914
21,343.828125,-20.742380,1.932819151700,6.000932842209,33396,0.973125
22,280.546875,-16.957763,1.866765130154,4.896466674931,31815,0.977008
23,208.770492,44.201530,0.799334096475,3.643732462975,7461,0.982389
24,282.966102,45.783967,0.771715355197,4.938690146109,7029,0.990568
25,270.762712,-45.783967,2.369877298393,4.725700813663,42249,0.989900
26,355.078125,32.797168,0.998377754702,6.197282383058,11388,0.959578
27,133.593750,22.669610,1.175136994390,2.331650797586,15071,0.958432
28,243.000000,-86.344551,3.077793038365,4.241150082346,49105,0.992067
29,147.857143,64.198746,0.450316835144,2.580593965449,2437,0.994523
30,118.306452,-43.406858,2.328388925322,2.064837106997,41421,0.991433
31,46.578947,-47.357576,2.397341957828,0.812955993692,42569,0.982602
32,143.437500,-17.582776,1.877673659783,2.503456645829,31974,0.958319
33,177.890625,15.713861,1.296537713306,3.104777114681,17918,0.952660
34,225.703125,-32.797168,2.143214898888,3.939262663290,37920,0.989259
35,74.531250,41.014500,0.854958266570,1.300815708127,8373,0.987476
36,2.812500,78.284148,0.204480198969,0.049087385212,480,0.995174
37,147.656250,-66.443536,2.730454791267,2.577087723648,47092,0.996267
38,229.921875,14.477512,1.318116071653,4.012893741109,18467,0.971353
39,300.405405,-62.696660,2.665059474152,5.243063415113,46463,0.996122
40,92.812500,-27.953187,2.058671474335,1.619883712007,36034,0.958332
41,188.839286,-48.141208,2.411018908693,3.295867292829,42885,0.981641
42,242.647059,52.029727,0.662706274462,4.234990096751,5237,0.975057
43,22.500000,39.450895,0.882248321263,0.392699081699,8848,0.995475
44,311.484375,37.168900,0.922076648454,5.436427912267,9821,0.981935
45,91.451613,67.189722,0.398114460855,1.596131751421,1891,0.995645
46,42.890625,-20.742380,1.932819151700,0.748582624488,33182,0.964747
47,337.857143,-42.609807,2.314477752194,5.896719544238,41324,0.996491
48,97.031250,26.610098,1.106362505720,1.693514789826,13509,0.973879
49,75.983607,-44.201530,2.342258557114,1.326164111966,41639,0.979258
50,266.484375,15.713861,1.296537713306,4.651029748869,17981,0.964062
51,137.177419,43.406858,0.813203728268,2.394197627131,7658,0.985978
52,156.093750,18.839405,1.241986688330,2.724349879285,16623,0.952910
53,7.000000,56.637198,0.582290736130,0.122173047640,3963,0.996798
54,180.918367,53.572233,0.635784468395,3.157621187537,4802,0.980031
55,187.031250,33.510056,0.985935515911,3.264311116621,11013,0.995731
56,248.906250,-34.953865,2.180856361831,4.344233591292,38705,0.960152
57,16.875000,-48.141208,2.411018908693,0.294524311274,42778,0.995938
58,37.968750,-66.443536,2.730454791267,0.662679700367,47053,0.978140
59,229.218750,33.510056,0.985935515911,4.000621894806,11043,0.996096
60,358.593750,-33.510056,2.155657137679,6.258641614573,38271,0.990365
61,49.921875,40.228185,0.868682051190,0.871301087519,8611,0.987693
62,135.000000,81.952764,0.140450762646,2.356194490192,236,0.980802
